model,version,year,km,color,price,location
156,2.0 TS Executive,1999,208500,Lacivert,220000,Bursa Yıldırım
Giulietta,1.4 TB MultiAir Distinctive,2015,99000,Beyaz,680000,İstanbul Esenyurt
Giulietta,1.6 JTD Giulietta,2020,32000,Beyaz,765000,İstanbul Ataşehir
Giulietta,1.6 JTD Distinctive,2015,236000,Beyaz,470000,İstanbul Sancaktepe
146,1.4 TS,1998,350000,Siyah,126500,İzmir Karabağlar
156,2.0 JTS  Distinctive,2004,215000,Siyah,275000,Konya Selçuklu
Giulietta,1.4 TB Distinctive,2011,189290,Siyah,435000,Tekirdağ Çorlu
MiTo,1.6 JTD Distinctive,2009,215000,Kırmızı,425000,Ankara Çankaya
147,1.6 TS Collezione,2009,196000,Siyah,299999,İzmir Buca
156,1.6 TS Distinctive,2005,114000,Siyah,325000,İzmir Karşıyaka
146,1.4 TS,1998,308000,Kırmızı,175000,Antalya Kepez
156,1.6 TS Distinctive,2005,259000,Kırmızı,245000,Tekirdağ Çerkezköy
145,1.6 TS Sportivo,2000,224312,Siyah,159750,İstanbul Pendik
145,1.4 TS STD,1998,254000,Kırmızı,120000,Tekirdağ Çorlu
Giulietta,1.6 JTD Distinctive,2014,119000,Siyah,574500,Bursa Nilüfer
Giulietta,1.4 TB MultiAir Super TCT,2016,135000,Gri,797000,Ankara Yenimahalle
147,1.6 TS Distinctive,2003,258000,Beyaz,177000,Konya Meram
146,2.0 Ti,1999,281000,Kırmızı,185000,İstanbul Üsküdar
Giulietta,1.6 JTD Super TCT,2018,64000,Beyaz,795000,İstanbul Tuzla
156,1.6 TS Distinctive,2005,327000,Siyah,225000,Ankara Gölbaşı
Giulietta,1.6 JTD Distinctive,2014,94500,Beyaz,492000,İstanbul Sultangazi
156,2.0 TS Selespeed,2000,307000,Gümüş Gri,235000,Tekirdağ Süleymanpaşa
Giulietta,1.4 TB MultiAir Distinctive,2014,109000,Siyah,665000,İstanbul Kadıköy
GTV,2.0 TB,1996,125000,Bordo,410000,İstanbul Beşiktaş
147,1.6 TS Progression,2004,191500,Gri,189000,Kilis Merkez
Giulietta,1.4 TB Progression Plus,2013,120000,Kırmızı,454950,İstanbul Esenyurt
Giulia,2.0 T Sprint,2020,9000,Beyaz,1750000,Adana Seyhan
145,1.6 L,1997,197000,Yeşil,150000,İstanbul Beşiktaş
156,1.6 TS Distinctive,2004,205000,Mavi,299000,İstanbul Güngören
156,1.6 TS,2001,226000,Siyah,210000,Manisa Soma
147,1.6 TS Distinctive,2004,262000,Siyah,295000,İstanbul Kağıthane
156,1.6 TS Distinctive,2004,237000,Bordo,280000,İzmir Karabağlar
Giulietta,1.6 JTD Distinctive,2014,109000,Siyah,510000,İstanbul Ümraniye
Giulietta,1.6 JTD Distinctive,2012,180000,Beyaz,460000,İstanbul Maltepe
147,1.6 TS Distinctive,2004,266000,Mavi,210000,İzmir Çiğli
Giulietta,1.4 TB MultiAir Distinctive,2013,132000,Kırmızı,550000,İstanbul Beşiktaş
156,1.6 TS,2000,300000,Mavi,175000,Erzurum Palandöken
MiTo,1.4 T MultiAir TCT Sportivo,2012,110000,Sarı,565000,İstanbul Kadıköy
MiTo,1.3 JTD City,2013,118000,Kırmızı,435000,Muğla Menteşe
Giulietta,1.6 JTD Progression Plus,2011,307000,Beyaz,361400,Ankara Çankaya
Brera,3.2 JTS Q4 Sky Window,2007,99000,Kırmızı,256500,İstanbul Sarıyer
147,1.6 TS Distinctive,2004,287000,Gri,209000,Diyarbakır Çüngüş
